#SampleID	ERR4674680	ERR4674710	ERR4674740	ERR4674760	ERR4674651	ERR4674671	ERR4674701	ERR4674731	ERR4674751	ERR4674781	ERR4674662	ERR4674692	ERR4674722	ERR4674742	ERR4674772	ERR4674643	ERR4674683	ERR4674713	ERR4674763	ERR4674654	ERR4674674	ERR4674704	ERR4674734	ERR4674754	ERR4674665	ERR4674695	ERR4674725	ERR4674745	ERR4674775	ERR4674646	ERR4674686	ERR4674716	ERR4674766	ERR4674657	ERR4674677	ERR4674707	ERR4674737	ERR4674757	ERR4674648	ERR4674668	ERR4674698	ERR4674728	ERR4674748	ERR4674778	ERR4674659	ERR4674689	ERR4674719	ERR4674769
sk__Bacteria	5134	604	500	1364	1701	2498	381	1339	576	992	449	4085	976	348	2377	2246	4696	3168	1121	2620	2622	342	1406	203	818	1569	537	322	969	5272	2454	1221	1127	633	2647	558	253	125	488	2772	2988	390	550	509	2442	3394	816	464
sk__Bacteria;k__;p__;c__;o__Haloplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales	0	1	1	3	3	0	0	0	1	0	4	2	1	4	0	1	2	10	3	2	1	0	0	2	35	0	1	0	1	4	2	0	0	9	2	0	0	2	2	0	3	1	0	4	0	0	0	1
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae;g__Candidatus_Babela;s__Candidatus_Babela_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
sk__Bacteria;k__;p__Acidobacteria	17	4	5	17	2	5	0	3	8	0	2	10	0	4	3	2	133	5	2	22	2	0	0	0	5	20	0	0	0	5	4	3	0	16	5	0	12	11	0	11	0	0	0	0	0	29	2	6
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_DG1540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	7	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
