#SampleID	ERR2010979	ERR315850	ERR315851	ERR315852	ERR315853	ERR315854	ERR315855
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales	0	0	1	1	0	4	6
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter	0	0	2	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium	0	0	4	21	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	19	0	18	4	7	12	1
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Amoebophilaceae;g__Candidatus_Amoebophilus	0	0	0	0	1	2	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	9	0	8	1	7	12	4
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Ekhidna	0	0	2	2	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Fibrisoma	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Marinoscillum	161	322	260	66	93	169	47
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Marinoscillum;s__Marinoscillum_pacificum	0	0	3	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae	1	0	2	1	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__;s__Flammeovirgaceae_bacterium_EF2C-B566	0	0	0	0	0	1	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Fabibacter	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Fabibacter;s__Fabibacter_pacificus	0	0	1	1	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Marivirga	2	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae	0	0	2	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia	1	0	1	4	3	1	1
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	381	155	353	191	150	259	110
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae	1	0	0	0	0	2	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Crocinitomix	1	0	0	0	0	1	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola	0	0	0	2	6	32	8
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae	47	375	316	45	70	51	70
