#SampleID	SRR15678350	SRR15678360	SRR15678370	SRR15678380	SRR15678390	SRR15678351	SRR15678361	SRR15678371	SRR15678381	SRR15678391	SRR15678352	SRR15678362	SRR15678372	SRR15678382	SRR15678392	SRR15678353	SRR15678363	SRR15678373	SRR15678383	SRR15678393	SRR15678354	SRR15678364	SRR15678374	SRR15678384	SRR15678394	SRR15678355	SRR15678365	SRR15678375	SRR15678385	SRR15678395	SRR15678346	SRR15678356	SRR15678366	SRR15678376	SRR15678386	SRR15678396	SRR15678347	SRR15678357	SRR15678367	SRR15678377	SRR15678387	SRR15678397	SRR15678348	SRR15678358	SRR15678368	SRR15678378	SRR15678388	SRR15678349	SRR15678359	SRR15678369	SRR15678379	SRR15678389
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales	11	5	0	40	49	14	8	0	34	93	0	0	68	17	194	4	35	9	59	16	1	23	11	218	36	0	3	16	9	7	16	22	8	3	125	15	142	18	3	6	49	306	69	2	5	3	72	246	1	0	21	11
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae	1	0	0	0	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	1	0	0	1	0	21	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	19	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__Pelagibacteraceae_bacterium_ETNP-OMZ-SAG-A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	191	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Sneathiella;s__Sneathiella_glossodoripedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Altererythrobacter	0	7	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	1	0	1	0	0	2	0	2	0	0	0	0	0	5	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria	8	2276	0	7	1117	110	2961	0	87	0	13	1053	16	3817	7	1033	39	0	2674	0	1493	543	440	38	0	1	0	331	5586	19	8664	81	30	2399	0	13261	8729	46	1320	3418	4	44	5	1	8060	0	126	14	47	51	0	2209
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__SAR324_cluster_bacterium_REDSEA-S26_B7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__SAR324_cluster_bacterium_SCGC_AB-629-J17	0	7	0	0	17	0	14	0	0	0	0	0	0	5	0	4	0	0	10	0	3	0	1	0	0	0	0	1	9	0	45	0	0	7	0	36	29	0	1	13	0	0	0	0	9	0	2	0	0	0	0	24
sk__Bacteria;k__;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0	0	0	7	1	0	0	0	4	0	1	3	2	0	0	0	5	2	0	0	0	0	37	0	3	0	0	3	2	5	6	3	0	1	0	0	2	0	0	0	6	0	0	2	0	0	7	0	4	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria	8	54	0	2	17	1	8	0	17	0	0	88	1	0	0	21	3	2	0	0	13	2	7	0	0	0	0	2	36	11	40	0	0	23	6	8	26	0	0	0	0	0	0	0	0	0	20	0	4	0	3	1
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__Pseudohongiella	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	1	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	49	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	1
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Coxiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
sk__Bacteria;k__;p__Thermotogae;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Verrucomicrobia;c__;o__;f__;g__Lentimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
sk__Bacteria;k__;p__Verrucomicrobia;c__Verrucomicrobiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sk__Eukaryota	0	1	0	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dinophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Lophodiniales;f__Lophodiniaceae;g__Woloszynskia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales;f__Protoperidiniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Syndiniales	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	24	29	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
sk__Eukaryota;k__;p__;c__Polycystinea;o__Spumellaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Polycystinea;o__Spumellaria;f__Actinommidae;g__Astrosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__Bacillariophyta	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__Euglenozoa;c__;o__Diplonemea	3	0	0	2	0	0	1	0	7	0	0	0	0	0	0	0	32	0	0	0	0	0	40	0	6	0	0	0	5	0	22	0	2	0	5	2	0	0	0	0	0	0	0	0	0	0	1	0	4	0	2	2
sk__Eukaryota;k__;p__Haptista;c__Haptophyta;o__;f__;g__Chrysoculter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sk__Eukaryota;k__;p__Haptista;c__Haptophyta;o__Prymnesiales;f__Chrysochromulinaceae;g__Chrysochromulina	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__Fungi	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__Metazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0
sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__Metazoa;p__Chordata;c__Appendicularia;o__Copelata;f__Oikopleuridae	0	180	0	0	0	16	29	0	1394	0	0	0	0	22	0	90	0	0	0	0	2	0	4035	0	0	0	0	13	2	161	668	0	1	11	0	0	1	0	237	0	0	0	12	0	3	0	860	0	0	0	0	65
sk__Eukaryota;k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Siphonophorae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__Metazoa;p__Echinodermata;c__Ophiuroidea	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__Viridiplantae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
