#SampleID	ERR12069720	ERR12069730	ERR12069740	ERR12069750	ERR12069760	ERR12069770	ERR12069780	ERR12069790	ERR12069800	ERR12069810	ERR12069820	ERR12069830	ERR12069840	ERR12069850	ERR12069860	ERR12069870	ERR12069880	ERR12069890	ERR12069900	ERR12069910	ERR12069920	ERR12069721	ERR12069731	ERR12069741	ERR12069751	ERR12069761	ERR12069771	ERR12069781	ERR12069791	ERR12069801	ERR12069811	ERR12069821	ERR12069831	ERR12069841	ERR12069851	ERR12069861	ERR12069871	ERR12069881	ERR12069891	ERR12069901	ERR12069911	ERR12069722	ERR12069732	ERR12069742	ERR12069752	ERR12069762	ERR12069772	ERR12069782	ERR12069792	ERR12069802	ERR12069812	ERR12069822	ERR12069832	ERR12069842	ERR12069852	ERR12069862	ERR12069872	ERR12069882	ERR12069892	ERR12069902	ERR12069912	ERR12069723	ERR12069733	ERR12069743	ERR12069753	ERR12069763	ERR12069773	ERR12069793	ERR12069803	ERR12069813	ERR12069823	ERR12069833	ERR12069843	ERR12069853	ERR12069863	ERR12069873	ERR12069883	ERR12069893	ERR12069903	ERR12069913	ERR12069724	ERR12069734	ERR12069744	ERR12069754	ERR12069764	ERR12069774	ERR12069784	ERR12069794	ERR12069804	ERR12069814	ERR12069824	ERR12069834	ERR12069844	ERR12069854	ERR12069864	ERR12069874	ERR12069884	ERR12069894	ERR12069904	ERR12069914	ERR12069715	ERR12069725	ERR12069735	ERR12069745	ERR12069755	ERR12069765	ERR12069775	ERR12069785	ERR12069795	ERR12069805	ERR12069815	ERR12069825	ERR12069835	ERR12069845	ERR12069855	ERR12069865	ERR12069875	ERR12069885	ERR12069895	ERR12069905	ERR12069915	ERR12069716	ERR12069726	ERR12069736	ERR12069746	ERR12069756	ERR12069766	ERR12069776	ERR12069786	ERR12069796	ERR12069806	ERR12069816	ERR12069826	ERR12069836	ERR12069846	ERR12069856	ERR12069866	ERR12069876	ERR12069886	ERR12069896	ERR12069906	ERR12069916	ERR12069717	ERR12069727	ERR12069737	ERR12069747	ERR12069757	ERR12069767	ERR12069777	ERR12069787	ERR12069797	ERR12069807	ERR12069817	ERR12069827	ERR12069837	ERR12069847	ERR12069857	ERR12069867	ERR12069877	ERR12069887	ERR12069897	ERR12069907	ERR12069917	ERR12069718	ERR12069728	ERR12069738	ERR12069748	ERR12069758	ERR12069768	ERR12069778	ERR12069788	ERR12069798	ERR12069808	ERR12069818	ERR12069828	ERR12069838	ERR12069848	ERR12069858	ERR12069868	ERR12069878	ERR12069888	ERR12069898	ERR12069908	ERR12069918	ERR12069719	ERR12069729	ERR12069739	ERR12069749	ERR12069759	ERR12069769	ERR12069779	ERR12069789	ERR12069799	ERR12069809	ERR12069819	ERR12069829	ERR12069839	ERR12069849	ERR12069859	ERR12069869	ERR12069879	ERR12069889	ERR12069899	ERR12069909	ERR12069919
sk__Eukaryota;k__;p__;c__Cryptophyceae;o__Pyrenomonadales;f__Pyrenomonadaceae;g__Rhodomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dictyochophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Dictyochales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Dictyochales;f__;g__Dictyocha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales;f__;g__Florenciella	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Florenciellales;f__;g__Pseudochattonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Pedinellales	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	15	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	2	0	1	0	2	0	1	0	0	0	1	0	0	0	5	1	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dictyochophyceae;o__Pedinellales;f__;g__Pteridomonas;s__Pteridomonas_danica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Eukaryota;k__;p__;c__Dinophyceae	22	52	7	5	15	1	133	130	57	72	7	82	72	9	386	58	53	83	375	12	15	10	0	21	3	1	24	22	67	53	45	7	49	97	100	17	63	106	123	16	91	9	13	2	2	104	1	36	77	83	81	5	43	45	35	9	50	31	14	9	116	27	25	10	86	3	3	43	161	141	5	80	90	142	87	113	48	17	8	8	0	192	55	17	53	91	48	222	115	16	46	91	65	38	87	117	132	8	10	156	4	10	6	476	46	16	101	93	33	37	73	1	99	131	21	93	7	121	15	84	13	8	35	49	0	10	3	80	98	25	51	77	9	87	90	31	84	17	51	42	2	3	6	3	4	27	5	1	119	78	108	75	9	7	50	103	7	180	125	60	4	13	26	2	2	21	1	5	212	183	69	134	26	3	19	75	22	4	98	78	70	6	18	4	2	13	5	34	57	227	114	104	166	34	10	149	139	92	233	31	46	111	233	8	21
